id,name,country,city,rank_world,intake_seasons,ielts_min,pte_min,toefl_min,gpa_requirement,tuition_fees,tuition_min_usd,tuition_max_usd,application_fee,documents_required,deadlines,official_website,admissions_page,notes,status
,Golden Gate University,USA,,,Sep/Feb,,,,,,,,USD 50,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, Reference letters",Fall: Apr / Spring: Nov,https://ggu.edu,https://ggu.edu,,approx
,Grand Valley State University,USA,,,Sep/Feb,,,,,,,,USD 50,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, Reference letters",Fall: Apr / Spring: Nov,https://gvsu.edu,https://gvsu.edu,,approx
,Hampden-Sydney College,USA,,,Sep/Feb,,,,,,,,USD 50,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, Reference letters",Fall: Apr / Spring: Nov,https://hsc.edu,https://hsc.edu,,approx
,Harvey Mudd College,USA,,,Sep/Feb,,,,,,,,USD 50,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, Reference letters",Fall: Apr / Spring: Nov,https://hmc.edu,https://hmc.edu,,approx
,High Point University,USA,,,Sep/Feb,,,,,,,,USD 50,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, Reference letters",Fall: Apr / Spring: Nov,https://highpoint.edu,https://highpoint.edu,,approx
,Howard Community College,USA,,,Sep/Feb,,,,,,,,USD 50,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, Reference letters",Fall: Apr / Spring: Nov,https://howardcc.edu,https://howardcc.edu,,approx
,Illinois Institute of Technology,USA,,,Sep/Feb,,,,,,,,USD 50,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, Reference letters",Fall: Apr / Spring: Nov,https://iit.edu,https://iit.edu,,approx
,Indiana University/Purdue University at Columbus,USA,,,Sep/Feb,,,,,,,,USD 50,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, Reference letters",Fall: Apr / Spring: Nov,https://iupuc.edu,https://iupuc.edu,,approx
,Iowa State University,USA,,,Sep/Feb,,,,,,,,USD 50,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, Reference letters",Fall: Apr / Spring: Nov,https://iastate.edu,https://iastate.edu,,approx
,John F. Kennedy University,USA,,,Sep/Feb,,,,,,,,USD 50,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, Reference letters",Fall: Apr / Spring: Nov,https://jfku.edu,https://jfku.edu,,approx
,Juniata College,USA,,,Sep/Feb,,,,,,,,USD 50,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, Reference letters",Fall: Apr / Spring: Nov,https://juniata.edu,https://juniata.edu,,approx
,Kent State University,USA,,,Sep/Feb,,,,,,,,USD 50,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, Reference letters",Fall: Apr / Spring: Nov,https://kent.edu,https://kent.edu,,approx
,LaGrange College,USA,,,Sep/Feb,,,,,,,,USD 50,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, Reference letters",Fall: Apr / Spring: Nov,https://lagrange.edu,https://lagrange.edu,,approx
,La Sierra University,USA,,,Sep/Feb,,,,,,,,USD 50,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, Reference letters",Fall: Apr / Spring: Nov,https://lasierra.edu,https://lasierra.edu,,approx
,LeTourneau University,USA,,,Sep/Feb,,,,,,,,USD 50,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, Reference letters",Fall: Apr / Spring: Nov,https://letu.edu,https://letu.edu,,approx
,Loma Linda University,USA,,,Sep/Feb,,,,,,,,USD 50,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, Reference letters",Fall: Apr / Spring: Nov,https://llu.edu,https://llu.edu,,approx
,Louisiana Tech University,USA,,,Sep/Feb,,,,,,,,USD 50,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, Reference letters",Fall: Apr / Spring: Nov,https://latech.edu,https://latech.edu,,approx
,Lyndon State College,USA,,,Sep/Feb,,,,,,,,USD 50,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, Reference letters",Fall: Apr / Spring: Nov,https://lyndonstate.edu,https://lyndonstate.edu,,approx
,Marist College,USA,,,Sep/Feb,,,,,,,,USD 50,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, Reference letters",Fall: Apr / Spring: Nov,https://marist.edu,https://marist.edu,,approx
,Massachusetts Institute of Technology,USA,,,Sep/Feb,,,,,,,,USD 50,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, Reference letters",Fall: Apr / Spring: Nov,https://mit.edu,https://mit.edu,,approx
,Mercy College,USA,,,Sep/Feb,,,,,,,,USD 50,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, Reference letters",Fall: Apr / Spring: Nov,https://mercymavericks.edu,https://mercymavericks.edu,,approx
,Metropolitan State University,USA,,,Sep/Feb,,,,,,,,USD 50,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, Reference letters",Fall: Apr / Spring: Nov,https://metrostate.edu,https://metrostate.edu,,approx
,Midwestern State University,USA,,,Sep/Feb,,,,,,,,USD 50,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, Reference letters",Fall: Apr / Spring: Nov,https://mwsu.edu,https://mwsu.edu,,approx
,Minnesota State University Moorhead,USA,,,Sep/Feb,,,,,,,,USD 50,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, Reference letters",Fall: Apr / Spring: Nov,https://mnstate.edu,https://mnstate.edu,,approx
,Molloy College,USA,,,Sep/Feb,,,,,,,,USD 50,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, Reference letters",Fall: Apr / Spring: Nov,https://molloy.edu,https://molloy.edu,,approx
,Mount Senario College,USA,,,Sep/Feb,,,,,,,,USD 50,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, Reference letters",Fall: Apr / Spring: Nov,https://mscfs.edu,https://mscfs.edu,,approx
,National University,USA,,,Sep/Feb,,,,,,,,USD 50,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, Reference letters",Fall: Apr / Spring: Nov,https://nu.edu,https://nu.edu,,approx
,Norfolk State University,USA,,,Sep/Feb,,,,,,,,USD 50,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, Reference letters",Fall: Apr / Spring: Nov,https://nsu.edu,https://nsu.edu,,approx
,North Dakota State University,USA,,,Sep/Feb,,,,,,,,USD 50,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, Reference letters",Fall: Apr / Spring: Nov,https://ndsu.edu,https://ndsu.edu,,approx
,Northern State University,USA,,,Sep/Feb,,,,,,,,USD 50,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, Reference letters",Fall: Apr / Spring: Nov,https://northern.edu,https://northern.edu,,approx
,Norwich University,USA,,,Sep/Feb,,,,,,,,USD 50,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, Reference letters",Fall: Apr / Spring: Nov,https://norwich.edu,https://norwich.edu,,approx
,Ohio State University - Columbus,USA,Ohio,,Sep/Feb,,,,,,,,USD 50,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, Reference letters",Fall: Apr / Spring: Nov,https://osu.edu,https://osu.edu,,approx
,Oral Roberts University,USA,,,Sep/Feb,,,,,,,,USD 50,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, Reference letters",Fall: Apr / Spring: Nov,https://oru.edu,https://oru.edu,,approx
,Pacific Lutheran University,USA,,,Sep/Feb,,,,,,,,USD 50,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, Reference letters",Fall: Apr / Spring: Nov,https://plu.edu,https://plu.edu,,approx
,Pennsylvania College of Technology,USA,Pennsylvania,,Sep/Feb,,,,,,,,USD 50,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, Reference letters",Fall: Apr / Spring: Nov,https://pct.edu,https://pct.edu,,approx
,Philadelphia University,USA,,,Sep/Feb,,,,,,,,USD 50,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, Reference letters",Fall: Apr / Spring: Nov,https://philau.edu,https://philau.edu,,approx
,Providence College,USA,,,Sep/Feb,,,,,,,,USD 50,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, Reference letters",Fall: Apr / Spring: Nov,https://providence.edu,https://providence.edu,,approx
,Radford University,USA,,,Sep/Feb,,,,,,,,USD 50,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, Reference letters",Fall: Apr / Spring: Nov,https://radford.edu,https://radford.edu,,approx
,Rhode Island College,USA,,,Sep/Feb,,,,,,,,USD 50,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, Reference letters",Fall: Apr / Spring: Nov,https://ric.edu,https://ric.edu,,approx
,Robert Morris University,USA,,,Sep/Feb,,,,,,,,USD 50,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, Reference letters",Fall: Apr / Spring: Nov,https://rmu.edu,https://rmu.edu,,approx
,Rosary College,USA,,,Sep/Feb,,,,,,,,USD 50,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, Reference letters",Fall: Apr / Spring: Nov,https://rosary.edu,https://rosary.edu,,approx
,Saint Cloud State University,USA,,,Sep/Feb,,,,,,,,USD 50,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, Reference letters",Fall: Apr / Spring: Nov,https://stcloudstate.edu,https://stcloudstate.edu,,approx
,Saint Mary College,USA,,,Sep/Feb,,,,,,,,USD 50,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, Reference letters",Fall: Apr / Spring: Nov,https://smcks.edu,https://smcks.edu,,approx
,Salisbury University,USA,,,Sep/Feb,,,,,,,,USD 50,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, Reference letters",Fall: Apr / Spring: Nov,https://salisbury.edu,https://salisbury.edu,,approx
,Sarah Lawrence College,USA,,,Sep/Feb,,,,,,,,USD 50,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, Reference letters",Fall: Apr / Spring: Nov,https://slc.edu,https://slc.edu,,approx
,Shenandoah University,USA,,,Sep/Feb,,,,,,,,USD 50,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, Reference letters",Fall: Apr / Spring: Nov,https://su.edu,https://su.edu,,approx
,Slippery Rock University of Pennsylvania,USA,Pennsylvania,,Sep/Feb,,,,,,,,USD 50,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, Reference letters",Fall: Apr / Spring: Nov,https://sru.edu,https://sru.edu,,approx
,Southern College of Technology,USA,,,Sep/Feb,,,,,,,,USD 50,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, Reference letters",Fall: Apr / Spring: Nov,https://sct.edu,https://sct.edu,,approx
,Southern University and A&M College,USA,,,Sep/Feb,,,,,,,,USD 50,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, Reference letters",Fall: Apr / Spring: Nov,https://subr.edu,https://subr.edu,,approx
,Southwest Minnesota State University,USA,,,Sep/Feb,,,,,,,,USD 50,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, Reference letters",Fall: Apr / Spring: Nov,https://smsu.edu,https://smsu.edu,,approx
,State University of New York at Albany,USA,,,Sep/Feb,,,,,,,,USD 50,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, Reference letters",Fall: Apr / Spring: Nov,https://albany.edu,https://albany.edu,,approx
,Academic medical center at State University of New York at Stony Brook,USA,,,Sep/Feb,,,,,,,,USD 50,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, Reference letters",Fall: Apr / Spring: Nov,https://stonybrookmedicine.edu,https://stonybrookmedicine.edu,,approx
,State University of New York College of Environmental Science and Forestry,USA,,,Sep/Feb,,,,,,,,USD 50,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, Reference letters",Fall: Apr / Spring: Nov,https://esf.edu,https://esf.edu,,approx
,St. Mary's College of Maryland,USA,,,Sep/Feb,,,,,,,,USD 50,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, Reference letters",Fall: Apr / Spring: Nov,https://smcm.edu,https://smcm.edu,,approx
,Sweet Briar College,USA,,,Sep/Feb,,,,,,,,USD 50,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, Reference letters",Fall: Apr / Spring: Nov,https://sbc.edu,https://sbc.edu,,approx
,Tarrant County College,USA,,,Sep/Feb,,,,,,,,USD 50,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, Reference letters",Fall: Apr / Spring: Nov,https://tccd.edu,https://tccd.edu,,approx
,Texas State University,USA,,,Sep/Feb,,,,,,,,USD 50,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, Reference letters",Fall: Apr / Spring: Nov,https://txstate.edu,https://txstate.edu,,approx
,Thomas Jefferson University,USA,,,Sep/Feb,,,,,,,,USD 50,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, Reference letters",Fall: Apr / Spring: Nov,https://tju.edu,https://tju.edu,,approx
,Trinity College (DC),USA,,,Sep/Feb,,,,,,,,USD 50,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, Reference letters",Fall: Apr / Spring: Nov,https://trinitydc.edu,https://trinitydc.edu,,approx
,Uniformed Services University of the Health Sciences,USA,,,Sep/Feb,,,,,,,,USD 50,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, Reference letters",Fall: Apr / Spring: Nov,https://usuhs.mil,https://usuhs.mil,,approx
,United States Naval Academy,USA,,,Sep/Feb,,,,,,,,USD 50,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, Reference letters",Fall: Apr / Spring: Nov,https://usna.edu,https://usna.edu,,approx
,University of Alaska - Southeast,USA,,,Sep/Feb,,,,,,,,USD 50,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, Reference letters",Fall: Apr / Spring: Nov,https://uas.alaska.edu,https://uas.alaska.edu,,approx
,University of Bridgeport,USA,,,Sep/Feb,,,,,,,,USD 50,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, Reference letters",Fall: Apr / Spring: Nov,https://bridgeport.edu,https://bridgeport.edu,,approx
,"University of California, San Diego",USA,,,Sep/Feb,,,,,,,,USD 50,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, Reference letters",Fall: Apr / Spring: Nov,https://ucsd.edu,https://ucsd.edu,,approx
,University of Charleston,USA,,,Sep/Feb,,,,,,,,USD 50,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, Reference letters",Fall: Apr / Spring: Nov,https://uchaswv.edu,https://uchaswv.edu,,approx
,University of Dallas,USA,,,Sep/Feb,,,,,,,,USD 50,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, Reference letters",Fall: Apr / Spring: Nov,https://udallas.edu,https://udallas.edu,,approx
,University of Georgia,USA,,,Sep/Feb,,,,,,,,USD 50,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, Reference letters",Fall: Apr / Spring: Nov,https://uga.edu,https://uga.edu,,approx
,University of Illinois Chicago,USA,,,Sep/Feb,,,,,,,,USD 50,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, Reference letters",Fall: Apr / Spring: Nov,https://uic.edu,https://uic.edu,,approx
,University of Kentucky,USA,,,Sep/Feb,,,,,,,,USD 50,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, Reference letters",Fall: Apr / Spring: Nov,https://uky.edu,https://uky.edu,,approx
,University of Maine at Presque Island,USA,,,Sep/Feb,,,,,,,,USD 50,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, Reference letters",Fall: Apr / Spring: Nov,https://umpi.maine.edu,https://umpi.maine.edu,,approx
,University of Massachusetts at Amherst,USA,,,Sep/Feb,,,,,,,,USD 50,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, Reference letters",Fall: Apr / Spring: Nov,https://umass.edu,https://umass.edu,,approx
,University of Minnesota - Crookston,USA,,,Sep/Feb,,,,,,,,USD 50,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, Reference letters",Fall: Apr / Spring: Nov,https://crk.umn.edu,https://crk.umn.edu,,approx
,University of Montana,USA,,,Sep/Feb,,,,,,,,USD 50,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, Reference letters",Fall: Apr / Spring: Nov,https://umt.edu,https://umt.edu,,approx
,University of New Haven,USA,,,Sep/Feb,,,,,,,,USD 50,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, Reference letters",Fall: Apr / Spring: Nov,https://newhaven.edu,https://newhaven.edu,,approx
,University of North Dakota,USA,,,Sep/Feb,,,,,,,,USD 50,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, Reference letters",Fall: Apr / Spring: Nov,https://und.edu,https://und.edu,,approx
,University of Oregon,USA,,,Sep/Feb,,,,,,,,USD 50,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, Reference letters",Fall: Apr / Spring: Nov,https://uoregon.edu,https://uoregon.edu,,approx
,University of Puget Sound,USA,,,Sep/Feb,,,,,,,,USD 50,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, Reference letters",Fall: Apr / Spring: Nov,https://ups.edu,https://ups.edu,,approx
,University of San Francisco,USA,,,Sep/Feb,,,,,,,,USD 50,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, Reference letters",Fall: Apr / Spring: Nov,https://usfca.edu,https://usfca.edu,,approx
,University of South Dakota,USA,,,Sep/Feb,,,,,,,,USD 50,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, Reference letters",Fall: Apr / Spring: Nov,https://usd.edu,https://usd.edu,,approx
,University of Tennessee at Chattanooga,USA,,,Sep/Feb,,,,,,,,USD 50,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, Reference letters",Fall: Apr / Spring: Nov,https://utc.edu,https://utc.edu,,approx
,The University of Texas at San Antonio,USA,Texas,,Sep/Feb,,,,,,,,USD 50,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, Reference letters",Fall: Apr / Spring: Nov,https://utsa.edu,https://utsa.edu,,approx
,University of the Incarnate Word,USA,,,Sep/Feb,,,,,,,,USD 50,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, Reference letters",Fall: Apr / Spring: Nov,https://uiw.edu,https://uiw.edu,,approx
,University of Wisconsin - Oshkosh,USA,,,Sep/Feb,,,,,,,,USD 50,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, Reference letters",Fall: Apr / Spring: Nov,https://uwosh.edu,https://uwosh.edu,,approx
,University of Wisconsin - Whitewater,USA,,,Sep/Feb,,,,,,,,USD 50,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, Reference letters",Fall: Apr / Spring: Nov,https://uww.edu,https://uww.edu,,approx
,Valparaiso University,USA,,,Sep/Feb,,,,,,,,USD 50,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, Reference letters",Fall: Apr / Spring: Nov,https://valpo.edu,https://valpo.edu,,approx
,Virginia Community College System,USA,,,Sep/Feb,,,,,,,,USD 50,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, Reference letters",Fall: Apr / Spring: Nov,https://vccs.edu,https://vccs.edu,,approx
,Walden University,USA,,,Sep/Feb,,,,,,,,USD 50,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, Reference letters",Fall: Apr / Spring: Nov,https://waldenu.edu,https://waldenu.edu,,approx
,Washington College,USA,,,Sep/Feb,,,,,,,,USD 50,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, Reference letters",Fall: Apr / Spring: Nov,https://washcoll.edu,https://washcoll.edu,,approx
,Webster University,USA,,,Sep/Feb,,,,,,,,USD 50,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, Reference letters",Fall: Apr / Spring: Nov,https://webster.edu,https://webster.edu,,approx
,Western Carolina University,USA,,,Sep/Feb,,,,,,,,USD 50,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, Reference letters",Fall: Apr / Spring: Nov,https://wcu.edu,https://wcu.edu,,approx
,Western New Mexico University,USA,,,Sep/Feb,,,,,,,,USD 50,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, Reference letters",Fall: Apr / Spring: Nov,https://wnmu.edu,https://wnmu.edu,,approx
,Westminster College of Salt Lake City,USA,,,Sep/Feb,,,,,,,,USD 50,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, Reference letters",Fall: Apr / Spring: Nov,https://wcslc.edu,https://wcslc.edu,,approx
,Wheeling Jesuit College,USA,,,Sep/Feb,,,,,,,,USD 50,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, Reference letters",Fall: Apr / Spring: Nov,https://wjc.edu,https://wjc.edu,,approx
,Willamette University,USA,,,Sep/Feb,,,,,,,,USD 50,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, Reference letters",Fall: Apr / Spring: Nov,https://willamette.edu,https://willamette.edu,,approx
,Wilmington College,USA,,,Sep/Feb,,,,,,,,USD 50,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, Reference letters",Fall: Apr / Spring: Nov,https://wilmington.edu,https://wilmington.edu,,approx
,Xavier University of Louisiana,USA,,,Sep/Feb,,,,,,,,USD 50,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, Reference letters",Fall: Apr / Spring: Nov,https://xula.edu,https://xula.edu,,approx
,Al-Birony University,Afghanistan,,,Sep/Feb,,,,,,,,USD 50,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, Reference letters",Fall: Apr / Spring: Nov,https://au.edu.af,https://au.edu.af,,approx
,Dunya Institute of Higher Education,Afghanistan,,,Sep/Feb,,,,,,,,USD 50,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, Reference letters",Fall: Apr / Spring: Nov,https://dunya.edu.af,https://dunya.edu.af,,approx
,Kandahar University,Afghanistan,,,Sep/Feb,,,,,,,,USD 50,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, Reference letters",Fall: Apr / Spring: Nov,https://kan.edu.af,https://kan.edu.af,,approx
,Khurasan University,Afghanistan,,,Sep/Feb,,,,,,,,USD 50,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, Reference letters",Fall: Apr / Spring: Nov,https://kumsa.net,https://kumsa.net,,approx
,Rana Institute of Higher Education,Afghanistan,,,Sep/Feb,,,,,,,,USD 50,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, Reference letters",Fall: Apr / Spring: Nov,https://rihs.edu.af,https://rihs.edu.af,,approx
,"University of Korca ""Fan Noli""",Albania,,,Sep/Feb,,,,,,,,USD 50,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, Reference letters",Fall: Apr / Spring: Nov,https://unkorce.edu.al,https://unkorce.edu.al,,approx
,Université Mouloud Mammeri de Tizi Ouzou,Algeria,,,Sep/Feb,,,,,,,,USD 50,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, Reference letters",Fall: Apr / Spring: Nov,https://ummto.dz,https://ummto.dz,,approx
,Université de Chlef,Algeria,,,Sep/Feb,,,,,,,,USD 50,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, Reference letters",Fall: Apr / Spring: Nov,https://univ-chlef.dz,https://univ-chlef.dz,,approx
,Université Kasdi Merbah Ouargla,Algeria,,,Sep/Feb,,,,,,,,USD 50,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, Reference letters",Fall: Apr / Spring: Nov,https://univ-ouargla.dz,https://univ-ouargla.dz,,approx
,Université des Sciences et de la Technologie d'Oran,Algeria,,,Sep/Feb,,,,,,,,USD 50,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, Reference letters",Fall: Apr / Spring: Nov,https://univ-usto.dz,https://univ-usto.dz,,approx
,Universidade Independente de Angola,Angola,,,Sep/Feb,,,,,,,,USD 50,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, Reference letters",Fall: Apr / Spring: Nov,https://unia.ao,https://unia.ao,,approx
,Universidad del CEMA,Argentina,Ciudad Autónoma de Buenos Aires,,Sep/Feb,,,,,,,,USD 50,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, Reference letters",Fall: Apr / Spring: Nov,https://ucema.edu.ar,https://ucema.edu.ar,,approx
,Universidad Maimónides,Argentina,Ciudad Autónoma de Buenos Aires,,Sep/Feb,,,,,,,,USD 50,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, Reference letters",Fall: Apr / Spring: Nov,https://maimonides.edu.ar,https://maimonides.edu.ar,,approx
,Universidad de Belgrano,Argentina,Ciudad Autónoma de Buenos Aires,,Sep/Feb,,,,,,,,USD 50,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, Reference letters",Fall: Apr / Spring: Nov,https://ub.edu.ar,https://ub.edu.ar,,approx
,Universidad de Ciencias Empresariales y Sociales,Argentina,Ciudad Autónoma de Buenos Aires,,Sep/Feb,,,,,,,,USD 50,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, Reference letters",Fall: Apr / Spring: Nov,https://uces.edu.ar,https://uces.edu.ar,,approx
,Universidad del Aconcagua,Argentina,,,Sep/Feb,,,,,,,,USD 50,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, Reference letters",Fall: Apr / Spring: Nov,https://uda.edu.ar,https://uda.edu.ar,,approx
,Universidad del Museo Social Argentino,Argentina,,,Sep/Feb,,,,,,,,USD 50,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, Reference letters",Fall: Apr / Spring: Nov,https://umsa.edu.ar,https://umsa.edu.ar,,approx
,Universidad Nacional de General Sarmiento,Argentina,Buenos Aires,,Sep/Feb,,,,,,,,USD 50,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, Reference letters",Fall: Apr / Spring: Nov,https://ungs.edu.ar,https://ungs.edu.ar,,approx
,Universidad Nacional de La Matanza,Argentina,Buenos Aires,,Sep/Feb,,,,,,,,USD 50,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, Reference letters",Fall: Apr / Spring: Nov,https://unlam.edu.ar,https://unlam.edu.ar,,approx
,Universidad Nacional del Noroeste de la Provincia de Buenos Aires,Argentina,,,Sep/Feb,,,,,,,,USD 50,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, Reference letters",Fall: Apr / Spring: Nov,https://unnoba.edu.ar,https://unnoba.edu.ar,,approx
,Universidad Nacional del Sur,Argentina,,,Sep/Feb,,,,,,,,USD 50,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, Reference letters",Fall: Apr / Spring: Nov,https://uns.edu.ar,https://uns.edu.ar,,approx
,Universidad Nacional de Moreno,Argentina,Buenos Aires,,Sep/Feb,,,,,,,,USD 50,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, Reference letters",Fall: Apr / Spring: Nov,https://unm.edu.ar,https://unm.edu.ar,,approx
,Universidad de la Defensa Nacional,Argentina,Ciudad Autónoma de Buenos Aires,,Sep/Feb,,,,,,,,USD 50,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, Reference letters",Fall: Apr / Spring: Nov,https://undef.edu.ar,https://undef.edu.ar,,approx
,Universidad Nacional de Pilar,Argentina,Buenos Aires,,Sep/Feb,,,,,,,,USD 50,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, Reference letters",Fall: Apr / Spring: Nov,https://unpilar.edu.ar,https://unpilar.edu.ar,,approx
,Universidad del Gran Rosario,Argentina,Santa Fe,,Sep/Feb,,,,,,,,USD 50,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, Reference letters",Fall: Apr / Spring: Nov,https://ugr.edu.ar,https://ugr.edu.ar,,approx
,Armenian State University of Economics,Armenia,,,Sep/Feb,,,,,,,,USD 50,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, Reference letters",Fall: Apr / Spring: Nov,https://asue.am,https://asue.am,,approx
,Yerevan State Medical University,Armenia,,,Sep/Feb,,,,,,,,USD 50,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, Reference letters",Fall: Apr / Spring: Nov,https://ysmu.am,https://ysmu.am,,approx
